#Simulation runs: 5000-5100
#Sensor Centre Position : x0 = 146 	y0 = 12
#Sensor Dimensions : width (x edge-to-edge) = 20 	height (y edge-to-edge) = 20
#All distances in units of mm
#Quadrant Definition: (x,y) : (+,+) := Quad 1 	(-,+) := Quad 2 	(-,-) := Quad 3 	(+,-) := Quad 4.
#Assumed symmetry: The corresponding sensor in each quadrant has been reflected (x,y)->(x_sym,y_sym)=(|x|,|y|) into Quad 1 (or the Quadrant containing (x0,y0)) before taking local coordinates (x_sym-x0,y_sym-y0) to obtain 4-fold increase in statistics.
#Note that where symmetry has been exploited	the original quadrant is specified for each entry	allowing original whole-detector spatial coordinates (x,y) to be reconstructed.
#The unique event number identifies a distinct event (in a distinct run) in the simulation.
#Energy: Energy deposited by the particle generating the hit as it traverses the SciFi composite material. Units of MeV.
#Time: Time of flight	with start at p-p collision within bunch (not the time of bunch centre). Units of ns.
#unq_evt_num	layer	Quadrant	x_sym-x0	y_sym-y0	t_coll	energy
8	4	4	-3.1398	-0.8866	29.3280	0.2182
8	4	3	-5.3015	0.2394	29.2688	0.2729
8	3	4	8.2250	-1.9136	28.4049	0.2446
9	4	2	-3.3248	-5.5517	29.1145	0.2254
9	3	4	-3.4850	-4.9569	28.3558	0.2176
9	4	4	4.5905	-4.8567	29.0562	0.2346
9	1	2	-5.0319	0.9666	26.0697	0.2163
9	2	2	4.0002	1.2754	26.7702	0.2782
9	2	3	-6.0076	7.2395	26.9247	0.2638
9	5	4	4.7131	3.9740	30.7229	0.2291
9	3	2	-7.7697	8.6143	28.5699	0.2818
9	4	2	-0.3960	9.1800	29.2704	0.2372
9	5	1	6.8564	-9.3672	30.3196	0.2467
9	6	3	-9.8517	1.6536	31.3149	0.3153
9	1	2	6.5670	-8.6943	25.9970	0.2434
9	3	1	6.4909	-3.1001	28.3339	0.2234
9	1	1	-7.2693	-2.8598	25.9860	0.2106
9	2	1	5.1816	-2.7249	26.6871	0.3129
9	5	2	-9.9017	4.8569	30.9186	0.4876
9	6	2	3.3660	4.4247	31.6198	0.2376
9	3	2	4.3726	-5.7883	28.6285	0.2062
9	5	4	4.4713	-6.0328	30.5810	0.2773
9	6	1	-5.7897	-5.2098	31.2851	0.2231
9	3	3	-2.9674	1.3329	28.2916	0.1397
9	5	2	9.5264	-6.8848	30.4819	0.2675
9	1	1	4.8606	-4.3138	26.8504	0.4001
9	1	2	-0.8517	-5.2212	25.9826	0.3258
9	2	2	7.0519	-4.0404	26.6830	0.1948
9	6	2	-8.2469	-5.9425	31.5769	0.2785
9	6	2	-7.5157	-6.5565	31.5769	0.3137
9	1	2	5.5490	4.9859	27.4964	0.4164
9	6	3	-9.7465	-5.8997	31.6989	0.2312
9	2	4	8.9742	6.4925	27.3951	0.3074
9	3	2	2.1621	6.6118	28.2789	0.2331
9	4	4	-7.0765	-8.2275	29.1359	0.2637
9	5	1	8.5778	-3.1101	30.7233	0.2163
9	1	1	6.5389	1.9980	25.9729	0.2442
9	1	1	1.5105	5.6335	25.9713	0.4260
9	6	2	-4.1345	2.7257	31.2134	0.2650
9	2	1	-8.1009	0.4489	26.9306	0.2343
9	5	2	1.1339	-6.5945	30.7011	0.2201
9	6	2	9.0334	-6.5137	31.4014	0.2370
10	1	1	-0.3620	7.1721	25.9770	0.2328
10	2	1	5.3004	7.6869	26.6771	0.2193
10	1	4	-8.1955	3.0341	25.9803	0.3220
10	2	4	1.7073	3.9358	26.6809	0.2431
10	2	1	5.6952	9.5880	26.8725	0.2169
10	1	3	3.7205	8.5217	26.2549	0.2169
